Subject,Object
Courtesan and Her Attendant,silk
Courtesan Reading a Letter,silk
Verdure with birds,silk
Episode from Roman History: Aemilius Paullus Becomes Consul for the Second Time,silk
"Tapestry fragment ""Quand Dieu vouldra""",silk
Elephants,silk
Bar Lev Line,reinforced concrete
Mannerheim Line,reinforced concrete
Die Trauernde,Kirchheimer Muschelkalk
Male bust-MAHG Inv eg 12,quartzite
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/2,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/6,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/14,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/4,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/5,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/3,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/15,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/19,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/21,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/22,printed matter
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/25,printed matter
Oxelösund lighthouse,concrete
Karlskrona lower light,concrete
Oxelösund lighthouse,concrete
Following the Leader,concrete
Mother and Children Playing,concrete
Following the Leader,concrete
Czechoslovak border fortifications,concrete
Holy Cross Church,concrete
Padiimenenmipet-D 27,serpentinite
Bust of Comenius,sandstone
Mount Carmel,limestone
Swabian Jura,limestone
St John Altarpiece,panel
St John Altarpiece,panel
Szczerbiec,iron
Inariyama Sword,iron
North Foreland Lighthouse,stone
Alcántara Bridge,stone
Alconétar Bridge,stone
José Augusto César Salgado,bronze
Carolina Ribeiro,bronze
Aureliano Leite,bronze
Statue of Horatio Nelson,bronze
Zygi Memorial Lighthouse keeper,bronze
Girl in a Wetsuit,bronze
Inéquilibre,bronze
Monumento ai Caduti,bronze
Monument of the Five Days of Milan,bronze
Monumento ai Caduti,stone
Leoš Janáček memorial plaque,bronze
Winston Churchill Memorial,bronze
sword with fan-shaped pommel,bronze
"Concurso ""Quem Deu Asas Ao Homem""",bronze
Medalha Inter Aliados 1914-1918,bronze
Homenagem do Aero Club de France A Santos Dumont,bronze
Homenagem do Aero Club de France A Santos Dumont,bronze
Cinqüentenário do 1º Vôo do 14 Bis de Santos Dumont,bronze
Emanuel Swedenborg,bronze
Monument voor 'Ome Jan',bronze
Ernst-Thälmann-Denkmal,bronze
"two stone blocks, Büttenberg, Schlossbahn",stone
"sign stone, Felsenburg Bözingen",stone
"Stein, Pfadigrüebli",stone
Peony,cotton fabric
Tulip,cotton fabric
Snakeshead,cotton fabric
Appliqué inv. 724,cotton
Lace sample inv. 851,cotton
Appliqué inv. 9619,cotton
Appliqué inv. 9472,cotton
"Musée Saint-Raymond, 26411",terracotta
"Musée Saint-Raymond, 26422",terracotta
"Musée Saint-Raymond, 26411",terracotta
"Musée Saint-Raymond, 26422",terracotta
Relic-holding sword,leather
Tapestry fragments on a green ground,wool
Tapestry fragments on a red ground,wool
Diana and the Nymph Britomartis,wool
Diana Kills the Children of Niobe,wool
Diana Between the Giants,wool
The Death of Chiore,wool
Prêmio Gualco,coining (mint)
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",coining (mint)
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",coining (mint)
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",coining (mint)
Judgement of Cambyses,wood
Triptych of Adriaan Reins,wood
Christ before Pilate,wood
Diptych of Jean Carondelet,wood
Landscape with castle,wood
Landscape with castle,wood
Landscape with castle,wood
Adoration of the Magi,wood
Adoration of the Magi,wood
Crucifix no. 434,wood
Crucifix,wood
Crucifix with stories of the Passion and Redemption,wood
A Stop on the Journey,textile
Inubōsaki Lighthouse,brick
Butt of Lewis Lighthouse,brick
Leuchtturm Travemünde,brick
St. Paulus,brick
Ludwigskirche,brick
Engelbrecht Church,brick
Chimney of Hort del Notari,brick
Chimney of Hort de Pobil,brick
Chimney of Hort de la Creu,brick
Chimney of Hort de la Colegiala,brick
Chimney of Jesús Bueno Factory,brick
Chimney at Camí de les Serratelles,brick
Chimney of Ricardo Martínez brickyard,brick
Chimneys of brickyards in Alfara del Patriarca,brick
"Chimney of Polígon 3, Parcel·la 23i, Catarroja",brick
"Chimney of Motor del Dorado, Catarroja",brick
"Boulder, Chräjeberg, wayside outside of the forest",slate
"Boulder, Chräjeberg, wayside outside of the forest",slate
Statue of Adoniran Barbosa,granite
Gotthelf memorial,granite
"Boulder, Chräjeberg, northern edge of the woods",granite
"Boulder Safnern, Büttenberg/ located at: Historical Museum Bern",granite
"Boulder, Büttenberg, Crossing Bartolomäusweg/ Jungholzweg",granite
Thunder God,paper
"Henry Colden Antill - journals, 1809, 1815",paper
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",paint
John Hunter First Fleet Journal 1787-1791,ink
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",ink
John Hunter First Fleet Journal 1787-1791,paper
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",paper
John Hunter First Fleet Journal 1787-1791,paper
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",paint
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",paint
John Hunter First Fleet Journal 1787-1791,ink
"Arthur Bowes-Smyth, illustrated journal, 1787-1789",ink
"William Bradley journal titled `A Voyage to New South Wales', 1786 - 1792",ink
Chapa Circular,metal
Jogo Padrão,brass
Jogo Padrão,brass
Jogo Padrão,metal
Jogo Padrão,metal
Maçarico,brass
Maçarico,brass
Design for a door frame with round arch and fronton,ink
Design for the wall of a chapel with two tombs,ink
Design for the left-hand half of a door frame,ink
Design for a door frame with round arch,ink
Design for a door frame with round arch and fronton,ink
Design for the wall of a chapel with two tombs,ink
Design for the left-hand half of a door frame,ink
Design for a door frame with round arch,ink
Design for a door frame with round arch and fronton,ink
Design for the wall of a chapel with two tombs,ink
Design for a sacristy display case in Rococo style,paper
Design for a sacristy display case in Rococo style,paper
Preliminary sketch of an altar of Our Lady,paper
Four designs for garden vases,paper
Design for a statue of a woman with candlestick,paper
Astrolabe-Quadrant: Sutton-type,paper
Astrolabe-Quadrant: Sutton-type,brass
Astrolabe-Quadrant: Gunter-type,brass
Astrolabe-Quadrant: Universal Horizon/Azimuth,brass
Astrolabe-Quadrant: Gunter-type,boxwood
Astrolabe-Quadrant: Sutton-type,paper
"Design drawing from the Jos De Beer collection, ref. obj-0002530",paper
"Design drawing from the Jos De Beer collection, ref. obj-0002523",paper
"Design drawing from the Jos De Beer collection, ref. obj-0002690",paper
"Design drawing from the Jos De Beer collection, ref. obj-0002690",paper
"Design drawing from the Jos De Beer collection, ref. obj-0002693",paper
Thunstrasse fountain,artificial stone
Marzili fountain,artificial stone
Villa Stucki fountain,brass
Steinhölzli fountain,brass
Thunstrasse fountain,brass
outer Laupenstrasse fountain,brass
Speichergasse fountain,brass
Reservoir fountain,brass
fountain Nydegghöfli,brass
Monument to Joaquín Costa,metal
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 52/3,paper
Mixteca Series #12,istle
Complete Fragment #9,metal-wrapped thread
Mixteca Series #12,linen
Untitled,linen
Complete Fragment #9,linen
Border of Heads and Palmettes from a Large Hanging,linen
Complete Fragment #9,horsehair
Border of Heads and Palmettes from a Large Hanging,natural dye
Mixteca Series #12,amate
Pont du Gard,shelly limestone
Mona Lisa,poplar wood
Homenagem do Aerolloyd Iguassú A Santos Dumont,copper
